Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-01-31,1177.2218017578125,696.2913208007812,636.1800537109375,1928.3551025390625,1188.2615556362798,704.3673847077627,654.9276894623733,1988.9220342609524,1171.4138843651856,692.3878570508188,634.174625324449,1921.4451431737025,1182.1655977902597,700.4190648899574,654.8149965528329,1984.3306419590667,5589134,6092028,34750310,3287223
2020-02-03,1145.0623779296875,688.6189575195312,624.3952026367188,1950.10546875,1150.0061733542714,709.7513103051258,630.9073246841167,2035.6225336721195,1130.5666091323744,686.0166487818977,614.277809923891,1941.4795110428092,1149.0942406721317,701.7201037899856,617.3648616637131,1996.017583234245,6538505,6416745,30712290,4728073
2020-02-04,1180.5816650390625,706.9695434570312,642.827392578125,1954.974365234375,1184.6135280661454,708.8091349135218,645.5764257919525,1981.8259427059927,1150.054300342984,691.0417529065148,629.9384038482908,1935.3574671633316,1150.054300342984,691.0417529065148,630.9298367504018,1974.6841056026494,10448852,5771311,25383901,3509339
2020-02-05,1194.8372802734375,704.0083618164062,652.7869873046875,1990.962646484375,1198.0531848567105,705.3095162799448,654.7248480250356,2000.3768581133572,1178.1816765010667,694.9003901102542,644.584953298895,1951.7750338499116,1185.4774897667444,700.8228145224388,646.65794923962,1961.6994253701746,9010341,6310409,18472100,2439322
2020-02-06,1190.1815185546875,692.163330078125,656.9781494140625,1974.08154296875,1198.7252343711893,706.0272468959652,661.1242615334874,2016.6080754563739,1187.6854804396453,690.9519427355937,649.0014412389811,1962.1628550440125,1194.8373913410132,703.8287524879468,655.3107396743205,1989.5246154901474,5913775,7341622,15538577,2640065
2020-02-07,1192.4853515625,697.5025634765625,646.0947265625,1981.68701171875,1197.0932956450317,698.8934299064241,654.5221471813597,1995.0895905972468,1182.3096019972018,691.8493308707784,643.6836516736284,1965.4090388077943,1196.1333170599114,696.2911760500739,653.9137377965803,1983.9593836762022,3407724,2853344,12209212,2083442
2020-02-10,1190.661376953125,693.8235473632812,646.9734497070312,2005.2459716796875,1193.2052262228092,698.1307699515373,651.435017719024,2009.929979310805,1176.9816833680018,690.727712301023,635.6392390812821,1965.40914912764,1193.2052262228092,694.5414086664395,643.5483796404028,1985.721687320848,4609917,3827682,15142476,2383032
2020-02-11,1190.9493408203125,694.1375122070312,654.702392578125,1997.3160400390625,1204.7730550885838,699.1177394453281,660.763803301397,2017.1650498704025,1188.5014658798648,690.2341041803581,651.2322570504484,1991.9366198399487,1193.541353162108,699.0280273315678,652.2913177449983,2006.2202983767265,5806760,4312817,13999816,1335820
2020-02-12,1199.01318359375,700.8676147460938,662.6115112304688,2013.407958984375,1202.7571232965508,702.8417743159713,664.6620649343832,2026.6250790652352,1194.2613367456927,695.5284291261875,655.7163657104253,1994.1619771122453,1195.365218306943,696.1565782760537,656.2346447986422,1995.1823366086192,3148965,2948825,13533565,1620407
2020-02-13,1191.7174072265625,710.9179077148438,664.3466186523438,2033.072021484375,1209.4770105777043,712.4882533614212,665.969023700187,2037.7560303387295,1184.2295275883441,701.8996479555038,659.1414450755215,2013.6405743583894,1209.4770105777043,704.4121900361658,665.969023700187,2015.4491882679727,4556070,4387430,13565659,1645948
